user_id,email,channel,country,signup_date
1,user1@example.com,organic,US,2023-01-01 00:00:00
2,user2@example.com,social,US,2023-01-01 12:00:00
3,user3@example.com,referral,US,2023-01-02 00:00:00
4,user4@example.com,paid,KG,2023-01-02 12:00:00
5,user5@example.com,organic,FR,2023-01-03 00:00:00
6,user6@example.com,organic,KG,2023-01-03 12:00:00
7,user7@example.com,organic,FR,2023-01-04 00:00:00
8,user8@example.com,referral,KG,2023-01-04 12:00:00
9,user9@example.com,paid,KG,2023-01-05 00:00:00
10,user10@example.com,referral,DE,2023-01-05 12:00:00
11,user11@example.com,organic,KG,2023-01-06 00:00:00
12,user12@example.com,social,UK,2023-01-06 12:00:00
13,user13@example.com,referral,DE,2023-01-07 00:00:00
14,user14@example.com,organic,KG,2023-01-07 12:00:00
15,user15@example.com,organic,US,2023-01-08 00:00:00
16,user16@example.com,organic,UK,2023-01-08 12:00:00
17,user17@example.com,organic,UK,2023-01-09 00:00:00
18,user18@example.com,paid,UK,2023-01-09 12:00:00
19,user19@example.com,paid,DE,2023-01-10 00:00:00
20,user20@example.com,organic,KG,2023-01-10 12:00:00
21,user21@example.com,paid,KG,2023-01-11 00:00:00
22,user22@example.com,organic,US,2023-01-11 12:00:00
23,user23@example.com,organic,US,2023-01-12 00:00:00
24,user24@example.com,organic,UK,2023-01-12 12:00:00
25,user25@example.com,paid,US,2023-01-13 00:00:00
26,user26@example.com,referral,DE,2023-01-13 12:00:00
27,user27@example.com,organic,KG,2023-01-14 00:00:00
28,user28@example.com,paid,UK,2023-01-14 12:00:00
29,user29@example.com,paid,US,2023-01-15 00:00:00
30,user30@example.com,organic,DE,2023-01-15 12:00:00
31,user31@example.com,paid,DE,2023-01-16 00:00:00
32,user32@example.com,organic,US,2023-01-16 12:00:00
33,user33@example.com,organic,KG,2023-01-17 00:00:00
34,user34@example.com,social,US,2023-01-17 12:00:00
35,user35@example.com,social,UK,2023-01-18 00:00:00
36,user36@example.com,referral,US,2023-01-18 12:00:00
37,user37@example.com,organic,DE,2023-01-19 00:00:00
38,user38@example.com,organic,US,2023-01-19 12:00:00
39,user39@example.com,paid,KG,2023-01-20 00:00:00
40,user40@example.com,paid,FR,2023-01-20 12:00:00
41,user41@example.com,organic,US,2023-01-21 00:00:00
42,user42@example.com,paid,KG,2023-01-21 12:00:00
43,user43@example.com,organic,KG,2023-01-22 00:00:00
44,user44@example.com,social,DE,2023-01-22 12:00:00
45,user45@example.com,organic,KG,2023-01-23 00:00:00
46,user46@example.com,paid,KG,2023-01-23 12:00:00
47,user47@example.com,organic,KG,2023-01-24 00:00:00
48,user48@example.com,paid,KG,2023-01-24 12:00:00
49,user49@example.com,paid,UK,2023-01-25 00:00:00
50,user50@example.com,organic,UK,2023-01-25 12:00:00
51,user51@example.com,social,DE,2023-01-26 00:00:00
52,user52@example.com,referral,US,2023-01-26 12:00:00
53,user53@example.com,social,KG,2023-01-27 00:00:00
54,user54@example.com,referral,US,2023-01-27 12:00:00
55,user55@example.com,paid,US,2023-01-28 00:00:00
56,user56@example.com,social,DE,2023-01-28 12:00:00
57,user57@example.com,organic,KG,2023-01-29 00:00:00
58,user58@example.com,organic,KG,2023-01-29 12:00:00
59,user59@example.com,organic,FR,2023-01-30 00:00:00
60,user60@example.com,organic,US,2023-01-30 12:00:00
61,user61@example.com,organic,US,2023-01-31 00:00:00
62,user62@example.com,organic,UK,2023-01-31 12:00:00
63,user63@example.com,referral,FR,2023-02-01 00:00:00
64,user64@example.com,organic,UK,2023-02-01 12:00:00
