user_id,user_name,email,city,created_at
1,User_1,user1@test.com,Kazan,2024-01-01
2,User_2,user2@test.com,Moscow,2024-01-02
3,User_3,user3@test.com,Kazan,2024-01-03
4,User_4,user4@test.com,Kazan,2024-01-04
5,User_5,user5@test.com,Moscow,2024-01-05
6,User_6,user6@test.com,Moscow,2024-01-06
7,User_7,user7@test.com,Kazan,2024-01-07
8,User_8,user8@test.com,SPB,2024-01-08
9,User_9,user9@test.com,Kazan,2024-01-09
10,User_10,user10@test.com,Kazan,2024-01-10
11,User_11,user11@test.com,Kazan,2024-01-11
12,User_12,user12@test.com,Kazan,2024-01-12
13,User_13,user13@test.com,Moscow,2024-01-13
14,User_14,user14@test.com,Kazan,2024-01-14
15,User_15,user15@test.com,SPB,2024-01-15
16,User_16,user16@test.com,Moscow,2024-01-16
17,User_17,user17@test.com,SPB,2024-01-17
18,User_18,user18@test.com,SPB,2024-01-18
19,User_19,user19@test.com,SPB,2024-01-19
20,User_20,user20@test.com,SPB,2024-01-20
21,User_21,user21@test.com,Moscow,2024-01-21
22,User_22,user22@test.com,Moscow,2024-01-22
23,User_23,user23@test.com,SPB,2024-01-23
24,User_24,user24@test.com,SPB,2024-01-24
25,User_25,user25@test.com,Moscow,2024-01-25
26,User_26,user26@test.com,Moscow,2024-01-26
27,User_27,user27@test.com,Moscow,2024-01-27
28,User_28,user28@test.com,Kazan,2024-01-28
29,User_29,user29@test.com,Kazan,2024-01-29
30,User_30,user30@test.com,Kazan,2024-01-30
31,User_31,user31@test.com,SPB,2024-01-31
32,User_32,user32@test.com,Kazan,2024-02-01
33,User_33,user33@test.com,SPB,2024-02-02
34,User_34,user34@test.com,SPB,2024-02-03
35,User_35,user35@test.com,Kazan,2024-02-04
36,User_36,user36@test.com,SPB,2024-02-05
37,User_37,user37@test.com,Kazan,2024-02-06
38,User_38,user38@test.com,Kazan,2024-02-07
39,User_39,user39@test.com,Moscow,2024-02-08
40,User_40,user40@test.com,Kazan,2024-02-09
41,User_41,user41@test.com,Moscow,2024-02-10
42,User_42,user42@test.com,Kazan,2024-02-11
43,User_43,user43@test.com,Kazan,2024-02-12
44,User_44,user44@test.com,Moscow,2024-02-13
45,User_45,user45@test.com,Moscow,2024-02-14
46,User_46,user46@test.com,Kazan,2024-02-15
47,User_47,user47@test.com,SPB,2024-02-16
48,User_48,user48@test.com,Moscow,2024-02-17
49,User_49,user49@test.com,SPB,2024-02-18
50,User_50,user50@test.com,SPB,2024-02-19
51,User_51,user51@test.com,SPB,2024-02-20
52,User_52,user52@test.com,Moscow,2024-02-21
53,User_53,user53@test.com,SPB,2024-02-22
54,User_54,user54@test.com,Moscow,2024-02-23
55,User_55,user55@test.com,SPB,2024-02-24
56,User_56,user56@test.com,Kazan,2024-02-25
57,User_57,user57@test.com,Kazan,2024-02-26
58,User_58,user58@test.com,Moscow,2024-02-27
59,User_59,user59@test.com,Kazan,2024-02-28
60,User_60,user60@test.com,Kazan,2024-02-29
61,User_61,user61@test.com,SPB,2024-03-01
62,User_62,user62@test.com,Moscow,2024-03-02
63,User_63,user63@test.com,SPB,2024-03-03
64,User_64,user64@test.com,SPB,2024-03-04
65,User_65,user65@test.com,SPB,2024-03-05
66,User_66,user66@test.com,SPB,2024-03-06
67,User_67,user67@test.com,SPB,2024-03-07
68,User_68,user68@test.com,SPB,2024-03-08
69,User_69,user69@test.com,SPB,2024-03-09
70,User_70,user70@test.com,Moscow,2024-03-10
71,User_71,user71@test.com,Kazan,2024-03-11
72,User_72,user72@test.com,SPB,2024-03-12
73,User_73,user73@test.com,SPB,2024-03-13
74,User_74,user74@test.com,SPB,2024-03-14
75,User_75,user75@test.com,SPB,2024-03-15
76,User_76,user76@test.com,SPB,2024-03-16
77,User_77,user77@test.com,SPB,2024-03-17
78,User_78,user78@test.com,Kazan,2024-03-18
79,User_79,user79@test.com,Kazan,2024-03-19
80,User_80,user80@test.com,SPB,2024-03-20
81,User_81,user81@test.com,Kazan,2024-03-21
82,User_82,user82@test.com,Moscow,2024-03-22
83,User_83,user83@test.com,SPB,2024-03-23
84,User_84,user84@test.com,Moscow,2024-03-24
85,User_85,user85@test.com,Moscow,2024-03-25
86,User_86,user86@test.com,SPB,2024-03-26
87,User_87,user87@test.com,Kazan,2024-03-27
88,User_88,user88@test.com,Moscow,2024-03-28
89,User_89,user89@test.com,SPB,2024-03-29
90,User_90,user90@test.com,Moscow,2024-03-30
91,User_91,user91@test.com,Moscow,2024-03-31
92,User_92,user92@test.com,Moscow,2024-04-01
93,User_93,user93@test.com,Moscow,2024-04-02
94,User_94,user94@test.com,Kazan,2024-04-03
95,User_95,user95@test.com,Moscow,2024-04-04
96,User_96,user96@test.com,Moscow,2024-04-05
97,User_97,user97@test.com,Moscow,2024-04-06
98,User_98,user98@test.com,Kazan,2024-04-07
99,User_99,user99@test.com,Moscow,2024-04-08
100,User_100,user100@test.com,Moscow,2024-04-09
