user_id,email,city,channel,created_at
1,user1@example.com,NOVOSIBIRSK,social,2023-11-24
2,user2@example.com,YEKATERINBURG,referral,2023-02-27
3,user3@example.com,KAZAN,paid,2023-01-13
4,user4@example.com,YEKATERINBURG,organic,2023-05-21
5,user5@example.com,YEKATERINBURG,organic,2023-05-06
6,user6@example.com,SPB,paid,2023-04-25
7,user7@example.com,KAZAN,paid,2023-03-13
8,user8@example.com,KAZAN,paid,2023-02-22
9,user9@example.com,KAZAN,organic,2023-12-13
10,user10@example.com,YEKATERINBURG,paid,2023-10-07
11,user11@example.com,NOVOSIBIRSK,organic,2023-02-14
12,user12@example.com,KAZAN,social,2023-10-30
13,user13@example.com,YEKATERINBURG,referral,2023-08-05
14,user14@example.com,SPB,referral,2023-01-17
15,user15@example.com,NOVOSIBIRSK,organic,2023-01-16
16,user16@example.com,SPB,organic,2023-02-17
17,user17@example.com,NOVOSIBIRSK,organic,2023-04-22
18,user18@example.com,YEKATERINBURG,referral,2023-04-30
19,user19@example.com,MOSCOW,organic,2023-09-16
20,user20@example.com,NOVOSIBIRSK,paid,2023-11-05
21,user21@example.com,SPB,organic,2023-01-14
22,user22@example.com,YEKATERINBURG,referral,2023-10-15
23,user23@example.com,NOVOSIBIRSK,paid,2023-04-12
24,user24@example.com,MOSCOW,paid,2023-11-29
25,user25@example.com,MOSCOW,paid,2023-12-26
26,user26@example.com,KAZAN,organic,2023-10-07
27,user27@example.com,KAZAN,paid,2023-08-03
28,user28@example.com,SPB,paid,2023-04-23
29,user29@example.com,NOVOSIBIRSK,organic,2023-08-18
30,user30@example.com,NOVOSIBIRSK,social,2023-10-29
31,user31@example.com,KAZAN,paid,2023-05-23
32,user32@example.com,NOVOSIBIRSK,paid,2023-01-04
33,user33@example.com,NOVOSIBIRSK,referral,2023-03-23
34,user34@example.com,MOSCOW,paid,2023-12-24
35,user35@example.com,KAZAN,organic,2023-08-05
36,user36@example.com,YEKATERINBURG,organic,2023-06-24
37,user37@example.com,KAZAN,paid,2023-05-23
38,user38@example.com,YEKATERINBURG,organic,2023-03-21
39,user39@example.com,MOSCOW,paid,2023-04-21
40,user40@example.com,SPB,referral,2023-06-22
41,user41@example.com,NOVOSIBIRSK,organic,2023-02-22
42,user42@example.com,MOSCOW,organic,2023-02-17
43,user43@example.com,NOVOSIBIRSK,organic,2023-07-14
44,user44@example.com,SPB,social,2023-02-19
45,user45@example.com,SPB,organic,2023-07-03
46,user46@example.com,MOSCOW,paid,2023-06-26
47,user47@example.com,SPB,organic,2023-11-06
48,user48@example.com,YEKATERINBURG,organic,2023-05-16
49,user49@example.com,SPB,organic,2023-01-23
50,user50@example.com,NOVOSIBIRSK,organic,2023-08-24
51,user51@example.com,NOVOSIBIRSK,paid,2023-10-02
52,user52@example.com,NOVOSIBIRSK,paid,2023-03-05
53,user53@example.com,NOVOSIBIRSK,paid,2023-07-13
54,user54@example.com,YEKATERINBURG,organic,2023-02-10
55,user55@example.com,KAZAN,organic,2023-10-10
56,user56@example.com,MOSCOW,organic,2023-05-31
57,user57@example.com,NOVOSIBIRSK,organic,2023-11-18
58,user58@example.com,SPB,paid,2023-11-13
59,user59@example.com,NOVOSIBIRSK,paid,2023-07-05
60,user60@example.com,SPB,organic,2023-10-23
61,user61@example.com,SPB,organic,2023-04-09
62,user62@example.com,NOVOSIBIRSK,organic,2023-12-27
63,user63@example.com,YEKATERINBURG,paid,2023-02-05
64,user64@example.com,SPB,referral,2023-01-24
65,user65@example.com,SPB,organic,2023-12-05
66,user66@example.com,NOVOSIBIRSK,social,2023-04-27
67,user67@example.com,SPB,organic,2023-05-29
68,user68@example.com,SPB,social,2023-02-10
69,user69@example.com,NOVOSIBIRSK,paid,2023-04-30
70,user70@example.com,NOVOSIBIRSK,organic,2023-02-21
71,user71@example.com,MOSCOW,organic,2023-07-14
72,user72@example.com,YEKATERINBURG,paid,2023-05-23
73,user73@example.com,YEKATERINBURG,paid,2023-08-21
74,user74@example.com,SPB,paid,2023-11-22
75,user75@example.com,YEKATERINBURG,paid,2023-07-06
76,user76@example.com,SPB,paid,2023-03-25
77,user77@example.com,MOSCOW,paid,2023-07-09
78,user78@example.com,NOVOSIBIRSK,organic,2023-07-01
79,user79@example.com,NOVOSIBIRSK,organic,2023-04-18
80,user80@example.com,NOVOSIBIRSK,organic,2023-12-10
81,user81@example.com,YEKATERINBURG,referral,2023-05-17
82,user82@example.com,MOSCOW,paid,2023-12-26
83,user83@example.com,YEKATERINBURG,social,2023-12-16
84,user84@example.com,YEKATERINBURG,organic,2023-11-28
85,user85@example.com,MOSCOW,referral,2023-02-06
86,user86@example.com,MOSCOW,referral,2023-11-08
87,user87@example.com,MOSCOW,organic,2023-11-22
88,user88@example.com,MOSCOW,paid,2023-03-29
89,user89@example.com,NOVOSIBIRSK,paid,2023-10-01
90,user90@example.com,KAZAN,referral,2023-05-06
91,user91@example.com,KAZAN,organic,2023-03-25
92,user92@example.com,MOSCOW,organic,2023-08-25
93,user93@example.com,KAZAN,referral,2023-07-14
94,user94@example.com,KAZAN,referral,2023-05-19
95,user95@example.com,MOSCOW,organic,2023-11-24
96,user96@example.com,KAZAN,organic,2023-12-19
97,user97@example.com,YEKATERINBURG,social,2023-10-13
98,user98@example.com,SPB,organic,2023-04-23
99,user99@example.com,SPB,paid,2023-12-17
100,user100@example.com,MOSCOW,referral,2023-06-16
